Record_ID,Annual_Rainfall,Rainfall_Category,Fertilizer,Fertilizer_per_Area,Pesticide,Pesticide_per_Area,Year_Group
1,2051,High,7024878.38,95.17,22882.34,0.31,1997-2000
2,2051,High,631643.29,95.17,2057.47,0.3099999999999999,1997-2000
3,2051,High,75755.32,95.17,246.76,0.31,1997-2000
4,2051,High,1870661.52,95.17,6093.36,0.31,1997-2000
5,2051,High,165500.63,95.17,539.09,0.31,1997-2000
6,2051,High,1293074.79,95.17,4211.97,0.31,1997-2000
7,2051,High,283511.43,95.17,923.49,0.31,1997-2000
8,2051,High,8995468.4,95.17,29301.2,0.31,1997-2000
9,2051,High,961026.66,95.17,3130.38,0.31,1997-2000
10,1433,High,1828786.72,95.17,5956.96,0.31,1997-2000
11,2051,High,562930.55,95.17,1833.65,0.31,1997-2000
12,2051,High,943515.38,95.17,3073.34,0.31,1997-2000
13,2051,High,745371.44,95.17,2427.92,0.31,1997-2000
14,1433,High,10306625.49,95.17,33572.07,0.31,1997-2000
15,2051,High,7162399.03,95.17,23330.29,0.31,1997-2000
16,2051,High,26580219.64,95.17,86580.52,0.31,1997-2000
17,2051,High,57802260.86,95.17,188280.98,0.31,1997-2000
18,2051,High,16652275.58,95.17,54241.94,0.31,1997-2000
19,2051,High,165911859.6,95.17000001720854,540429.51,0.31,1997-2000
20,2051,High,1500355.05,95.17,4887.15,0.31,1997-2000
21,2051,High,998333.3,95.17,3251.9,0.31,1997-2000
22,2051,High,2980534.06,95.17,9708.58,0.31,1997-2000
23,2051,High,892694.6,95.17,2907.8,0.31,1997-2000
24,2051,High,234594.05,95.17,764.15,0.31,1997-2000
25,2051,High,41208.61,95.17,134.23,0.31,1997-2000
26,2051,High,958457.07,95.17,3122.01,0.31,1997-2000
27,2051,High,8060708.66,95.17,26256.38,0.31,1997-2000
28,1266,Medium,8860327.0,95.17,28861.0,0.31,1997-2000
29,1266,Medium,40143657.7,95.17,130761.1,0.31,1997-2000
30,1266,Medium,28660350.33,95.17,93356.19,0.31,1997-2000
31,1266,Medium,78039.4,95.17,254.2,0.31,1997-2000
32,1266,Medium,364025.25,95.17,1185.75,0.31,1997-2000
33,1266,Medium,2020459.1,95.17,6581.3,0.31,1997-2000
34,1266,Medium,1648058.89,95.17,5368.27,0.31,1997-2000
35,1266,Medium,17756723.43,95.17,57839.49,0.31,1997-2000
36,1266,Medium,434451.05,95.17,1415.15,0.31,1997-2000
37,1266,Medium,481655.37,95.17,1568.91,0.31,1997-2000
38,1266,Medium,344420.23,95.17,1121.89,0.31,1997-2000
39,1266,Medium,80672373.22,95.17,262776.46,0.31,1997-2000
40,1266,Medium,18312230.72,95.17,59648.96,0.31,1997-2000
41,1266,Medium,17023248.24,95.17,55450.32,0.31,1997-2000
42,1266,Medium,15529174.41,95.17,50583.63,0.31,1997-2000
43,1266,Medium,37086797.3,95.17,120803.9,0.31,1997-2000
44,1266,Medium,142866539.2,95.16999997335417,465363.32,0.31,1997-2000
45,1266,Medium,584058.29,95.17,1902.47,0.31,1997-2000
46,1266,Medium,47851190.49,95.17,155867.07,0.31,1997-2000
47,1266,Medium,4648483.48,95.17000000000002,15141.64,0.31,1997-2000
48,1266,Medium,926004.1,95.17,3016.3,0.31,1997-2000
49,1266,Medium,85455141.57,95.17,278355.51,0.31,1997-2000
50,1266,Medium,2579487.68,95.17,8402.24,0.31,1997-2000
51,1266,Medium,1286793.57,95.17,4191.51,0.31,1997-2000
52,1266,Medium,98170710.1,95.17,319774.3,0.31,1997-2000
53,1266,Medium,5128616.13,95.17,16705.59,0.31,1997-2000
54,1266,Medium,25509747.48,95.17,83093.64,0.31,1997-2000
55,1266,Medium,2417703465.585,95.17,95745.67,0.31,1997-2000
56,1266,Medium,413228.14,95.17,1346.02,0.31,1997-2000
57,1266,Medium,2417703465.585,95.17,77716.38,0.31,1997-2000
58,3252,Very High,7246719.65,95.17,23604.95,0.31,1997-2000
59,3252,Very High,16545780.35,95.17,53895.05,0.31,1997-2000
60,3252,Very High,9143267.41,95.17,29782.63,0.31,1997-2000
61,3252,Very High,84163018.48,95.17,274146.64,0.31,1997-2000
62,3252,Very High,12645713.75,95.17,41191.25,0.31,1997-2000
63,3818,Very High,910681.73,95.17,2966.39,0.31,1997-2000
64,3818,Very High,82322.05,95.17,268.15,0.31,1997-2000
65,3818,Very High,498595.63,95.17,1624.09,0.31,1997-2000
66,3818,Very High,2855.1,95.17,9.3,0.31,1997-2000
67,3818,Very High,717962.48,95.17,2338.64,0.31,1997-2000
68,3818,Very High,168070.22,95.17,547.46,0.31,1997-2000
69,3818,Very High,700165.69,95.17,2280.67,0.31,1997-2000
70,3818,Very High,42160.31,95.17,137.33,0.31,1997-2000
71,3818,Very High,403806.31,95.17,1315.33,0.31,1997-2000
72,3818,Very High,4758.5,95.17,15.5,0.31,1997-2000
73,3818,Very High,1634544.75,95.17,5324.25,0.31,1997-2000
74,3818,Very High,2417703465.585,95.17,1453.28,0.31,1997-2000
75,3818,Very High,81941.37,95.17,266.91,0.31,1997-2000
76,3818,Very High,181679.53,95.17,591.79,0.31,1997-2000
77,3818,Very High,1976109.88,95.17,6436.84,0.31,1997-2000
78,3818,Very High,658005.38,95.17,2143.34,0.31,1997-2000
79,3818,Very High,2417703465.585,95.17,32602.7,0.31,1997-2000
80,3818,Very High,2417703465.585,95.17,411.06,0.31,1997-2000
81,3818,Very High,2417703465.585,95.17,869.24,0.31,1997-2000
82,3818,Very High,85462.66,95.17,278.38,0.31,1997-2000
83,3818,Very High,7803.94,95.17,25.42,0.31,1997-2000
84,3818,Very High,2417703465.585,95.17,1615.72,0.31,1997-2000
85,3818,Very High,376778.03,95.17,1227.29,0.31,1997-2000
86,3818,Very High,70616.14,95.17,230.02,0.31,1997-2000
87,3818,Very High,133333.17,95.17000000000002,434.31,0.31,1997-2000
88,3818,Very High,407993.79,95.17,1328.97,0.31,1997-2000
89,1852,Medium,766879.86,95.17,2497.98,0.31,1997-2000
